project_id,query,status
REAL_001,Delhi-Mumbai Expressway NHAI Dausa land acquisition,followup_search_plan_not_claimed_executed
REAL_001,Delhi-Mumbai Expressway NHAI Dausa 3A 3D notification award,followup_search_plan_not_claimed_executed
REAL_001,Delhi-Mumbai Expressway NHAI Dausa compensation R&R SIA,followup_search_plan_not_claimed_executed
REAL_001,Delhi-Mumbai Expressway NHAI Dausa legal disputes,followup_search_plan_not_claimed_executed
REAL_001,Delhi-Mumbai Expressway NHAI Dausa environment forest clearance,followup_search_plan_not_claimed_executed
REAL_001,Delhi-Mumbai Expressway NHAI Dausa rainfall terrain flood,followup_search_plan_not_claimed_executed
REAL_001,Delhi-Mumbai Expressway NHAI Dausa tender contract progress,followup_search_plan_not_claimed_executed
REAL_002,Ganga Expressway UPEIDA Meerut land acquisition,followup_search_plan_not_claimed_executed
REAL_002,Ganga Expressway UPEIDA Meerut 3A 3D notification award,followup_search_plan_not_claimed_executed
REAL_002,Ganga Expressway UPEIDA Meerut compensation R&R SIA,followup_search_plan_not_claimed_executed
REAL_002,Ganga Expressway UPEIDA Meerut legal disputes,followup_search_plan_not_claimed_executed
REAL_002,Ganga Expressway UPEIDA Meerut environment forest clearance,followup_search_plan_not_claimed_executed
REAL_002,Ganga Expressway UPEIDA Meerut rainfall terrain flood,followup_search_plan_not_claimed_executed
REAL_002,Ganga Expressway UPEIDA Meerut tender contract progress,followup_search_plan_not_claimed_executed
REAL_003,Char Dham Highway Project MoRTH Rudraprayag land acquisition,followup_search_plan_not_claimed_executed
REAL_003,Char Dham Highway Project MoRTH Rudraprayag 3A 3D notification award,followup_search_plan_not_claimed_executed
REAL_003,Char Dham Highway Project MoRTH Rudraprayag compensation R&R SIA,followup_search_plan_not_claimed_executed
REAL_003,Char Dham Highway Project MoRTH Rudraprayag legal disputes,followup_search_plan_not_claimed_executed
REAL_003,Char Dham Highway Project MoRTH Rudraprayag environment forest clearance,followup_search_plan_not_claimed_executed
REAL_003,Char Dham Highway Project MoRTH Rudraprayag rainfall terrain flood,followup_search_plan_not_claimed_executed
REAL_003,Char Dham Highway Project MoRTH Rudraprayag tender contract progress,followup_search_plan_not_claimed_executed
REAL_004,Mumbai Metro Line 3 MMRCL Mumbai land acquisition,followup_search_plan_not_claimed_executed
REAL_004,Mumbai Metro Line 3 MMRCL Mumbai 3A 3D notification award,followup_search_plan_not_claimed_executed
REAL_004,Mumbai Metro Line 3 MMRCL Mumbai compensation R&R SIA,followup_search_plan_not_claimed_executed
REAL_004,Mumbai Metro Line 3 MMRCL Mumbai legal disputes,followup_search_plan_not_claimed_executed
REAL_004,Mumbai Metro Line 3 MMRCL Mumbai environment forest clearance,followup_search_plan_not_claimed_executed
REAL_004,Mumbai Metro Line 3 MMRCL Mumbai rainfall terrain flood,followup_search_plan_not_claimed_executed
REAL_004,Mumbai Metro Line 3 MMRCL Mumbai tender contract progress,followup_search_plan_not_claimed_executed
REAL_005,Delhi Metro Phase IV DMRC New Delhi land acquisition,followup_search_plan_not_claimed_executed
REAL_005,Delhi Metro Phase IV DMRC New Delhi 3A 3D notification award,followup_search_plan_not_claimed_executed
REAL_005,Delhi Metro Phase IV DMRC New Delhi compensation R&R SIA,followup_search_plan_not_claimed_executed
REAL_005,Delhi Metro Phase IV DMRC New Delhi legal disputes,followup_search_plan_not_claimed_executed
