source_id,canonical_source_id,project_id,related_project_id,candidate_project_id,assignment_status,source_name,source_url,direct_file_url,final_url,source_type,source_priority,source_format,authority,project_name_as_source,project_number,package_number,state,district,tehsil,village,scope,publication_date,publication_date_original,publication_date_basis,document_date,document_date_original,retrieved_at,local_file,sha256,sha256_verified,bytes,http_status,content_type,last_modified,etag,download_status,fields_extracted,source_page_or_row,api_endpoint,api_parameters,verification_status,identity_status,confidence,match_notes,pages_extracted,candidate_table_cells,normalization_status,error
S001,S001,,,REAL_001,review_required,annual_report_2018_19,https://morth.nic.in/sites/default/files/other_files/Annual_Report_English_2018-19.pdf,https://morth.nic.in/sites/default/files/other_files/Annual_Report_English_2018-19.pdf,http://morth.gov.in/sites/default/files/other_files/Annual_Report_English_2018-19.pdf,government_official,1,,MoRTH,,,,,,,,project_context,,,,,,2026-09-05T10:25:39+00:00,,,False,,200,text/html; charset=UTF-8,"Wed, 22 Jul 2026 06:58:59 GMT",,failed,[],[],,,review_required,review_required,,Annual report; only Delhi-Vadodara/Mumbai section is relevant. ,0,0,not_extracted,RuntimeError: expected_pdf_received_html
S021,S021,REAL_001,,REAL_001,matched_source_context,DME_progress_2024,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2039504&lang=2&reg=3,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2039504&lang=2&reg=3,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2039504&lang=2&reg=3,government_official,1,html,PIB_MoRTH,,,,,,,,project,2024-07-31,,,,,2026-09-05T10:30:48+00:00,project_research/REAL_001_DELHI_MUMBAI_EXPRESSWAY/01_authority/REAL_001_PIB_MoRTH_DME_progress_2024_2024-07-31_ba46453bf2fc.html,ba46453bf2fc47370455d02f6e0aa8142a64c496e2efd0d3afc3b0b0b1379694,True,62719,200,text/html; charset=utf-8,,XXXXXXXX,downloaded,"[""completion_target"", ""constructed_length_km"", ""physical_progress""]","[""HTML body; exact anchor in saved extraction""]",,,official,matched_source_context,0.9,Verify exact internal project and record scope. JICA is the government lender disclosure host where applicable. ,1,2,normalized_observations_available,
S031,S031,,,REAL_001,review_required,annual_report_2023_24,https://nhai.gov.in/nhai/sites/default/files/2025-09/NHAI-Annual_Report_2023-24_English.pdf,https://nhai.gov.in/nhai/sites/default/files/2025-09/NHAI-Annual_Report_2023-24_English.pdf,https://nhai.gov.in/nhai/sites/default/files/2025-09/NHAI-Annual_Report_2023-24_English.pdf,government_official,1,pdf,NHAI,,,,,,,,mixed_projects,,,,,,2026-09-05T10:30:54+00:00,project_research/REAL_001_DELHI_MUMBAI_EXPRESSWAY/01_authority/REAL_001_NHAI_annual_report_2023_24_undated_75eb02573bb4.pdf,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,True,4902080,200,application/pdf,"Tue, 02 Sep 2025 11:17:36 GMT",,downloaded,[],[],,,official,review_required,,Verify exact internal project and record scope. JICA is the government lender disclosure host where applicable. ,164,577,raw_and_candidate_evidence_only,
S033,S033,,,REAL_001,review_required,bhoomirashi_public_portal,https://bhoomirashi.gov.in/auth/revamp/login1.cshtml,https://bhoomirashi.gov.in/auth/revamp/login1.cshtml,https://bhoomirashi.gov.in/auth/revamp/login1.cshtml,government_official,1,html,MoRTH,,,,,,,,discovery_only,,,,,,2026-09-05T10:30:56+00:00,project_research/REAL_001_DELHI_MUMBAI_EXPRESSWAY/02_state_district_land_acquisition/REAL_001_MoRTH_bhoomirashi_public_portal_undated_184162a5c122.html,184162a5c12223b4c3b33572d163142329f207300843a4459c08d48f552a0510,True,48805,200,text/html; charset=utf-8,,None,downloaded,[],[],,,official,review_required,,Verify exact internal project and record scope. JICA is the government lender disclosure host where applicable. ,1,0,raw_and_candidate_evidence_only,
S016,S016,,,REAL_001,review_required,bandikui_jaipur_spur_application,https://environmentclearance.nic.in/auth/FORM_A_PDF.aspx?cat_id=IA%2FRJ%2FNCP%2F226198%2F2021&pid=New,https://environmentclearance.nic.in/auth/FORM_A_PDF.aspx?cat_id=IA%2FRJ%2FNCP%2F226198%2F2021&pid=New,https://environmentclearance.nic.in/auth/FORM_A_PDF.aspx?cat_id=IA%2FRJ%2FNCP%2F226198%2F2021&pid=New,government_official,1,html,MoEFCC,,,,,,,,related_package,,,,,,2026-09-05T10:25:42+00:00,project_research/REAL_001_DELHI_MUMBAI_EXPRESSWAY/06_approvals/REAL_001_MoEFCC_bandikui_jaipur_spur_application_undated_80befa4c5681.html,80befa4c56817e19c50b00d810eda6544393b5820345492cd86917517a6e83b9,True,190092,200,text/html; charset=utf-8,,,downloaded,[],[],,,official,review_required,,"Bandikui-Jaipur spur is related, not DME mainline; application is not approval. ",1,2748,raw_and_candidate_evidence_only,
S019,S019,,,REAL_001,review_required,monsoon_report_2024,https://www.imdpune.gov.in/Reports/Monsoon_Report/monsoon_report_2024.pdf,https://www.imdpune.gov.in/Reports/Monsoon_Report/monsoon_report_2024.pdf,https://www.imdpune.gov.in/Reports/Monsoon_Report/monsoon_report_2024.pdf,government_official,1,pdf,IMD,,,,,,,,national_climate_context,,,,,,2026-09-05T10:22:34+00:00,project_research/REAL_001_DELHI_MUMBAI_EXPRESSWAY/07_climate_landscape/REAL_001_IMD_monsoon_report_2024_undated_707dac297cce.pdf,707dac297cceb21b2b89049c996d1c5e4e276de00309428132d3ecf1bc3e68e3,True,36414430,200,application/pdf,"Mon, 17 Mar 2025 06:26:16 GMT","""1400f3-22ba3de-63083dd8b3200""",downloaded,[],[],,,official,review_required,,One canonical shared raw copy. National/subdivision totals are not district observations. ,307,1768,raw_and_candidate_evidence_only,
S030,S030,,,REAL_001,review_required,district_rainfall_snapshot,https://mausam.imd.gov.in/Rainfall/DISTRICT_DISTRIBUTION_STATEWISE_COUNTRY_INDIA_cd.pdf,https://mausam.imd.gov.in/Rainfall/DISTRICT_DISTRIBUTION_STATEWISE_COUNTRY_INDIA_cd.pdf,https://mausam.imd.gov.in/Rainfall/DISTRICT_DISTRIBUTION_STATEWISE_COUNTRY_INDIA_cd.pdf,government_official,1,pdf,IMD,,,,,,,,district_climate,,,,,,2026-09-05T10:30:54+00:00,project_research/REAL_001_DELHI_MUMBAI_EXPRESSWAY/07_climate_landscape/REAL_001_IMD_district_rainfall_snapshot_undated_bdaf93262b7f.pdf,bdaf93262b7f247e6eac4fe0daeff997ac30d8b4e2fbb37f67feb2ca8a2b5c0e,True,131270,200,application/pdf,"Sat, 05 Sep 2026 08:56:16 GMT",,downloaded,[],[],,,official,review_required,,Verify exact internal project and record scope. JICA is the government lender disclosure host where applicable. ,1,404,raw_and_candidate_evidence_only,
S037,S037,,REAL_001,REAL_001,matched_source_context,district_daily_cumulative_rainfall,https://mausam.imd.gov.in/imd_latest/contents/rainfall_statistics_3.php,https://mausam.imd.gov.in/Rainfall/DISTRICT_RAINFALL_DISTRIBUTION_COUNTRY_INDIA_cd.pdf,https://mausam.imd.gov.in/Rainfall/DISTRICT_RAINFALL_DISTRIBUTION_COUNTRY_INDIA_cd.pdf,government_official,1,pdf,IMD,,,,,,,,district_climate,,,,,,2026-09-05T10:33:12+00:00,project_research/REAL_001_DELHI_MUMBAI_EXPRESSWAY/07_climate_landscape/REAL_001_IMD_district_daily_cumulative_rainfall_undated_819aabe522da.pdf,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,True,2998773,200,application/pdf,"Sat, 05 Sep 2026 08:56:16 GMT",,downloaded,"[""rainfall_category"", ""rainfall_mm"", ""rainfall_normal_mm""]","[""PDF page 11; text row 12; district MEERUT; daily rainfall_mm"", ""PDF page 11; text row 12; district MEERUT; daily rainfall_normal_mm"", ""PDF page 11; text row 12; district MEERUT; daily rainfall_category"", ""PDF page 11; text row 12; district MEERUT; cumulative rainfall_mm"", ""PDF page 11; text row 12; district MEERUT; cumulative rainfall_normal_mm"", ""PDF page 11; text row 12; district MEERUT; cumulative rainfall_category"", ""PDF page 12; text row 28; district PRAYAGRAJ; daily rainfall_mm"", ""PDF page 12; text row 28; district PRAYAGRAJ; daily rainfall_normal_mm"", ""PDF page 12; text row 28; district PRAYAGRAJ; daily rainfall_category"", ""PDF page 12; text row 28; district PRAYAGRAJ; cumulative rainfall_mm"", ""PDF page 12; text row 28; district PRAYAGRAJ; cumulative rainfall_normal_mm"", ""PDF page 12; text row 28; district PRAYAGRAJ; cumulative rainfall_category"", ""PDF page 13; text row 23; district RUDRAPRAYAG; daily rainfall_mm"", ""PDF page 13; text row 23; district RUDRAPRAYAG; daily rainfall_normal_mm"", ""PDF page 13; text row 23; district RUDRAPRAYAG; daily rainfall_category"", ""PDF page 13; text row 23; district RUDRAPRAYAG; cumulative rainfall_mm"", ""PDF page 13; text row 23; district RUDRAPRAYAG; cumulative rainfall_normal_mm"", ""PDF page 13; text row 23; district RUDRAPRAYAG; cumulative rainfall_category"", ""PDF page 14; text row 27; district NEW DELHI; daily rainfall_mm"", ""PDF page 14; text row 27; district NEW DELHI; daily rainfall_normal_mm"", ""PDF page 14; text row 27; district NEW DELHI; daily rainfall_category"", ""PDF page 14; text row 27; district NEW DELHI; cumulative rainfall_mm"", ""PDF page 14; text row 27; district NEW DELHI; cumulative rainfall_normal_mm"", ""PDF page 14; text row 27; district NEW DELHI; cumulative rainfall_category"", ""PDF page 16; text row 28; district GANDERBAL; daily rainfall_mm"", ""PDF page 16; text row 28; district GANDERBAL; daily rainfall_normal_mm"", ""PDF page 16; text row 28; district GANDERBAL; daily rainfall_category"", ""PDF page 16; text row 28; district GANDERBAL; cumulative rainfall_mm"", ""PDF page 16; text row 28; district GANDERBAL; cumulative rainfall_normal_mm"", ""PDF page 16; text row 28; district GANDERBAL; cumulative rainfall_category"", ""PDF page 18; text row 4; district DAUSA; daily rainfall_mm"", ""PDF page 18; text row 4; district DAUSA; daily rainfall_normal_mm"", ""PDF page 18; text row 4; district DAUSA; daily rainfall_category"", ""PDF page 18; text row 4; district DAUSA; cumulative rainfall_mm"", ""PDF page 18; text row 4; district DAUSA; cumulative rainfall_normal_mm"", ""PDF page 18; text row 4; district DAUSA; cumulative rainfall_category"", ""PDF page 23; text row 3; district MUMBAI CITY; daily rainfall_mm"", ""PDF page 23; text row 3; district MUMBAI CITY; daily rainfall_normal_mm"", ""PDF page 23; text row 3; district MUMBAI CITY; daily rainfall_category"", ""PDF page 23; text row 3; district MUMBAI CITY; cumulative rainfall_mm"", ""PDF page 23; text row 3; district MUMBAI CITY; cumulative rainfall_normal_mm"", ""PDF page 23; text row 3; district MUMBAI CITY; cumulative rainfall_category"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; daily rainfall_mm"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; daily rainfall_normal_mm"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; daily rainfall_category"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; cumulative rainfall_mm"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; cumulative rainfall_normal_mm"", ""PDF page 23; text row 4; district MUMBAI SUBURBAN; cumulative rainfall_category"", ""PDF page 24; text row 15; district NAGPUR; daily rainfall_mm"", ""PDF page 24; text row 15; district NAGPUR; daily rainfall_normal_mm"", ""PDF page 24; text row 15; district NAGPUR; daily rainfall_category"", ""PDF page 24; text row 15; district NAGPUR; cumulative rainfall_mm"", ""PDF page 24; text row 15; district NAGPUR; cumulative rainfall_normal_mm"", ""PDF page 24; text row 15; district NAGPUR; cumulative rainfall_category"", ""PDF page 28; text row 19; district CHENNAI; daily rainfall_mm"", ""PDF page 28; text row 19; district CHENNAI; daily rainfall_normal_mm"", ""PDF page 28; text row 19; district CHENNAI; daily rainfall_category"", ""PDF page 28; text row 19; district CHENNAI; cumulative rainfall_mm"", ""PDF page 28; text row 19; district CHENNAI; cumulative rainfall_normal_mm"", ""PDF page 28; text row 19; district CHENNAI; cumulative rainfall_category""]",,,official,matched_source_context,0.9,Direct file from official page. Preserve internal scope and dates. ,33,8557,normalized_observations_available,
S039,S039,,,REAL_001,review_required,dausa_district_disaster_plan_2025,https://dmrelief.rajasthan.gov.in/content/dam/dmr/files/documents/ddmp2025/Dausa.pdf,https://dmrelief.rajasthan.gov.in/content/dam/dmr/files/documents/ddmp2025/Dausa.pdf,https://dmrelief.rajasthan.gov.in/content/dam/dmr/files/documents/ddmp2025/Dausa.pdf,government_official,1,pdf,Rajasthan_Disaster_Management,,,,,,,,district_context,,,,,,2026-09-05T10:40:29+00:00,project_research/REAL_001_DELHI_MUMBAI_EXPRESSWAY/07_climate_landscape/REAL_001_Rajasthan_Disaster_Management_dausa_district_disaster_plan_2025_undated_4e6168a84f43.pdf,4e6168a84f43670505b1de95da08d92c53d98214685a23375c8de2dd303ffd3d,True,6858083,200,application/pdf,"Fri, 27 Mar 2026 12:25:20 GMT",,downloaded,[],[],,,official,review_required,,Exact geographic/project scope must be retained. ,260,81,raw_and_candidate_evidence_only,
S002,S002,,,REAL_002,review_required,ganga_project_page,https://upeida.up.gov.in/en/article/ganga-expressway?brd=2,https://upeida.up.gov.in/en/article/ganga-expressway?brd=2,https://upeida.up.gov.in/en/article/ganga-expressway?brd=2,government_official,1,html,UPEIDA,,,,,,,,project,,,,,,2026-09-05T10:22:27+00:00,project_research/REAL_002/01_authority/REAL_002_UPEIDA_ganga_project_page_undated_f1eb64687195.html,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,True,80443,200,text/html; charset=utf-8,,,downloaded,[],[],,,official,review_required,,Official project landing page and download index. ,1,430,raw_and_candidate_evidence_only,
