page,reference,text
1,PDF page 1," 
 
 
 
           
 
 
 
Dedicated Freight Corridor Corporation of India Ltd (DFCCIL) 
 
A Govt. of India (Ministry of Railways) Enterprise 
 
 
 
"
2,PDF page 2,"1 
 
 
 
 
CONTENTS 
 
       CHAPTER       PAGE  
 
1. Introduction         03 - 11 
  
2. Asset Design Parameters      12 - 16 
 
3. Business Plan for DFCC       17 - 28 
 
4. Organization Structure & Training     29 - 51 
 
5. Construction Planning       52 - 56 
 
6. Information Technology       57 - 58 
 
7.  Risk Management       59 - 64 
 
8. Social and Environmental Management    65 - 73 
 
9. Material management                                                            74 
 
10.      Other Initiatives                                                                       75 - 77 
 
Glossary of Terms       78 - 79  
        "
3,PDF page 3,"2 
 
                                                                         PREFACE 
 
Dedicated Freight Corridor Corporation of India Ltd. (DFCCIL) has been given a 
mandate to construct, maintain and operate Dedicated Rail Freight Corridors across 
the country. To begin with, the Government of India has entrusted DFCCIL with 
construction, maintenance and operation of Eastern Corridor between Sanehwal near 
Ludhiana to Dankuni in West Bengal and Western Corridor connecting Dadri in Uttar 
Pradesh to Jawaharlal Nehru Port (JNPT) in Mumbai. 
 
The Corporate Plan, akin to the construction of DFCs, is a “work -in-progress”. It 
includes the business plan, which itself is in dynami c state and therefore, subject to 
constant updation and modification, as DFCCIL undertakes the challenge of building 
one of the largest rail transport infrastructure initiatives post -independence. While the 
role and scope of DFCCIL is clear.  The rules of engagement between Ministry of 
Railways and DFCCIL are detailed in the concession agreement.  
The Corporate Plan is an effort to pin point our sense of direction so that there is 
organizational alignment and focus and clarity about the job at hand. 
 
 
 
 
 
 
 
 
 
 
 
  "
4,PDF page 4,"3 
 
                                                                    CHAPTER - I 
                                                                  INTRODUCTION 
1.0 Indian Railway is a life line of Indian economy, traversing length and breadth of 
country with total route length of approx. 68442Kms.  
The Indian Rai lways carried a whopping 1221.48 million tonnes in 2018 -19. What 
Indian Railways achieved from 1950 -51 to 2000 -01 from 73.2 million tonnes to 473.5 
million tonnes, a net increase of 400 million ton nes. Greater achievement was 
accomplished in next 17 years from 2000-01 to 2018-2019 from 473.5 million tonnes to 
1221.48 million tonnes, an increase of 747 .98 million tonnes. Going forward, Railways 
has an ambitious plan of achieving the freight volumes t o the tune of 2165 million  
tonnes in few years . This is achievable as given elasticity of the rail transport demand 
with GDP growth rates being in the vicinity of 1.1 to 1.2. 
However, there are serious challenges and constraints. Many of the key arteries a nd 
routes of Indian Railways, particularly those on the Golden Quadrilateral are now 
bursting at their seams and operating far in excess of their capacity. Today the Indian 
Railways have mixed corridor where both Mail/Express/Passenger trains share the 
same track with the freight trains and although, it is the freight traffic which is the bread 
and butter, the Mail/Express/Passenger trains invariably takes precedence over the 
freight trains. As a result, the average speed of freight trains is relatively low . The 
average speed of the freight trains on Indian Railways is approx. 23.6Kmph, and this 
has an adverse impact on Indian Railway’s performance and competitiveness. It is a 
fact that freight tariff on the Indian Railway is also one of the highest in the w orld.  
This translates into higher supply chain costs which in turn results in loss of 
competitiveness of Railway in the market.  Therefore, it is imperative to augment rail 
capacity so that increased demand for freight transport with growth in economy is met. 
Indian Railways considered following three options: 
 Augment the existing network by laying quadrupled lines 
 Create a separate Dedicated Passenger Corridor 
 Create a separate Dedicated Freight Corridor  
The large scale augmentation of capacity of the ex isting network was not considered 
practical as it would have led to large scale dislocation to the running traffic, as well as 
land acquisition issues, particularly in and around urban centres. More so, it would have 
remained a mixed corridor with track st ructure unsuitable for carriage of higher axle 
load traffic and also restricted schedule of dimensions of the fixed structures like Road 
Over Bridges and others. It was not considered prudent to go in for a new Dedicated 
Passenger Corridor on account of th e fact that it would have been prohibitively 
expensive because it had to pass through the urban/city centres to cater to the passenger 
need and would have required grade separation in terms of longer and higher flyovers 
due to paucity of space, not only fr om the existing rail network but also through the 
congested road network in the urban/city centres.  Passenger tariff, being relatively low 
in India, would have made the proposal financially unviable. Moreover, the limitation 
of lower axle load and restric tions on account of schedule of dimensions of fixed 
infrastructure would have remained with the freight operation.  
Taking above factors into consideration and recognizing the need for a quantum leap in 
the Railways’ transportation capacity to meet transpo rt requirement for sustainable 
growth in the national economy, the Ministry of Railways has embarked upon a long -
term strategic plan to construct high -capacity, high-speed Dedicated Freight Corridors 
along the golden quadrilateral and its diagonals. It wil l not be out of place to mention "
5,PDF page 5,"4 
 
that the Golden Quadrilateral and its diagonals constituting 10122 Km is, in fact, back 
bone of the Indian Railways total Kms because this is contributing more than 60 % of 
the freight traffic and 52 % of the passenger traffic carried by IR. These routes serve the 
core sectors of the Indian economy by carrying raw materials to the plants and finished 
products to centres of consumption, manufacturing and trade. If this DFC is not made 
then the achieving of the projected GDP growth would not be possible. 
In order to implement the Dedicated Freight Corridor project and thereafter to operate 
and maintain the Dedicated Freight Corridors (DFCs), the Ministry of Railways 
decided to set up a SPV and accordingly the Dedicated Freight Corridor Corporation of 
India Ltd. (DFCCIL), a fully owned company of Ministry of Railways under the 
Companies Act, 1956 has been set up on 30th Oct 2006. The Dedicated Freight Corridor 
is the most ambitious and biggest project ever undertaken in the railw ay infrastructure 
sector in the country. 
With the Dedicated Freight Corridors, the Indian Railways aim to bring about a 
paradigm shift in freight operation with prime objective of reduction in unit cost of 
transportation with higher speed of freight trains , better turnaround of wagons  and 
thereby much improved wagon productivity in terms of improved ton -km per wagon 
day, increased payload to tare ratio by introduction of higher axle load wagons on the 
rail network, improved locomotive utilization and impro ved specific fuel consumption. 
The ultimate objective is to reduce the Operation and Maintenance Cost (O&M Cost) 
significantly and in penultimate analysis; the benefit is passed on to the customer in the 
form of lower transport Logistics Cost. 
Why Eastern and Western Corridor? 
The existing trunk routes of Howrah -Delhi on the Eastern Corridor and Mumbai -Delhi 
on the Western Corridor are highly saturated, line capacity utilization varying 
between115% to150%, and is also primarily passenger service dominated r outes. These 
also represent high demand freight traffic corridors between the Eastern coal belt of 
Sonnagar-Garhwa Road -Patratu area with the existing and upcoming Thermal Power 
Houses in the northern region of Uttar Pradesh, Haryana, Punjab and Rajasthan; and the 
ports of Maharashtra and Gujarat like Jawaharlal Nehru Port, Mumbai Port, Kandla, 
Mundra, Pipavav etc. the container hubs at one end and the NCR of Delhi, Haryana and 
Punjab in the northern region on the other. 
1.1 DEDICATED   FREIGHT   CORRIDOR: 
 Vision  
To create a part nership with IR for retaining and expanding the market share of rail 
through efficient and reliable service with customer focus. 
 Mission 
As the dedicated agency to make the vision into reality, DFCCIL’s mission is 
i. To build a corridor  with appropriate technology that enables Indian Railways to 
regain its market share of freight transport by creating additional capacity and 
guaranteeing efficient, reliable, safe and  cheaper options for mobility  to its 
customers. 
ii. To support  the Government’s initiatives toward ecological sustainability by 
encouraging users to adopt Railways as the most environment friendly mode for 
their transport requirements.    
  
 Motto 
Sincerity, Speed and Success  "
6,PDF page 6,"5 
 
 Objectives 
The main objectives of DFCCIL are:  
(a) Project Delivery: To construct the dedicated freight corridor network to the 
highest quality standards, within the budgeted timelines and costs. 
(b) Operation and Maintenance 
(i) Additional line Capacity: To make additional line capacity available to IR 
for running freight trains and assure safe and reliable train operations. 
(ii)  Reduction in cost of operations: Achieve significant reduction in the cost 
of operations by adopting international best practices including long 
haul/heavy haul operations. 
1.2 Concession Agreement and Track Access Agreement 
DFCCIL is a special purpose vehicle established by the MOR as a Non -Government 
Railway to implement the Project and operate and maintain the New Railway consistent 
with the Project Objectives and is a railway administ ration under the Railway Act, 
1989. 
The   Concession  Agreement   has  been  signed  between Ministry  of  Railway 
(MOR)  and  DFCCIL  on  28/2/2014  after  necessary    reviews  from  Railway  
Board, duly  incorporating  the  suggestions of  DEA   and  po ints  emanating  from  
joint  discussions   with  Planning  Commission with the approvals  from  DFCCIL 
Board of Directors. The  Track  Access  Agreement  is  a  part   of  the  Concession  
agreement  and  has  been  signed  as  Annexure  A  of  the  Conce ssion  agreement  
itself. The  concession  Agreement  mainly  covers  the  general  representations,  
warranties,  undertakings  and   obligations by  the  Concessionaire (DFCCIL)  and  the  
Concessioning  Authority (  MOR)  and  the  areas  of  services,  design, delivery,   
construction, subcontracting,  variation,  completion  timelines, operation  and  
maintenance, Access  arrangements,  Blocks, intellectual  property, risks, insurance, 
accounting, reporting, termination, handover,    etc.  
With  the  t imely   signing  of  this  agreement ,  DFCCIL   has  now  been  fully  
empowered  to  go  ahead  with  the  Project  construction,  operation  &  Maintenance   
in  a  clear  legal   and  rightful  manner  defining  the  obligations  of  the  
Concessionaire, DFCCIL,  and  that  of  the  Concessioning  Authority,  the  Ministry  
of  Railway (MOR)  and  actions  to  be  taken  for  the  success   of  the  DFCCIL  
project  ahead.  
One  of  the basic  condition  under  Schedule 1  of  the  Concession  Agreement    was  
the  “Condition  Precedent”  to  the  Concession  agreement  which  was  to  be  
mandatorily    fulfilled   prior  to  the  execution  of  this  Agreement.  The  same  has  
been  successfully  fulfilled  on 25.6.2014 to  the  satisfaction  of  MOR  and  with  this  
fulfilment  of  the  “Condition Precedent“ ,  the  Concession Agreement  is  fully  
operational .   
Following are the salient features of Concession Agreement: 
(1) MOR grants to DFCCIL for the Concession Period the right to implement the 
Project. MOR and DFCCIL shall, at the end of each period of 5 years of the 
Concession Period, review the performance of DFCCIL of its rights and 
obligations under the Project Documents having regard to the Project Objectives 
and any other matters as agreed between MOR and DFCCIL. 
(2) MOR shall grant MOR License in respect of all land required for the Project and 
associated Railway Infrastructure, as agreed by the MOR and DFCCIL, and at the 
time required to comply with the Construction Programme. "
7,PDF page 7,"6 
 
(3) MOR will assist DFC CIL to obtain financing on attractive terms from external 
credit providers (including multilateral agencies) to facilitate the funding of the 
Project including obtaining relevant Tax exemptions and waivers. 
(4) MOR acknowledges and agrees that DFCCIL shall hav e autonomy and 
independence from MOR in relation to its management of the implementation of 
the Project and the performance of its obligations and exercise of its rights under 
the Project Documents. 
(5) The MOR accepts certain risks and obligations, including in relation to: 
(a) A delay in its funding of the MOR Loans and other funding to be made 
available by it to DFCCIL and any corresponding rise in costs; 
(b) A delay in giving, or a failure to give, within a reasonable period any 
Approval required from MOR (subject to DFCCIL having complied with 
all applicable conditions for the grant of such Approvals); 
(c) Failure to grant MOR License for all the land required for the Project at the 
time such land is required to comply with the Construction Programme; 
(d) Pre-Existing Contamination and MOR Subsequent Contamination; 
(e) Damage to the New Railway caused by defective trains run by Authorised 
Rail Users; (the protocol for establishing the cause/cost of damage, etc. 
shall be unambiguously  stated in the disaster management manual or  
appropriate manual issued by DFCCIL with the approval of MOR); 
(f) Loss of traffic or inability to carry traffic as a result of corresponding MOR 
Improvements not being completed as planned. 
(6) MOR shall utilize the DFCCIL network and in return shall pay Track A ccess 
Charge (TAC) as per Track Access Agreement. TAC so paid shall be deposited in 
an Escrow Account to be opened by DFCCIL. TAC Liability shall be worked out 
by MOR and provisions shall be made under demand under separate Head. 
(7) To the extent reasonable and permissible under the Laws, the MOR shall make all 
Reasonable endeavours to ensure that any third parties in relation to whom it has 
the authority or a contractual right to request or direct (in connection with the 
Project), provide reasonable assistanc e to, cooperate with, and do not 
unnecessarily or unreasonably prevent, hinder, disrupt, delay or otherwise 
interfere with DFCCIL and its Associates in undertaking the Project as 
contemplated by this Agreement. MOR shall ensure that each Zonal Railway with 
geographical jurisdiction adjacent to with the terms of mutually agreed program. 
(8) MOR and DFCCIL acknowledge and agree that at present it is intended that 
DFCCIL shall not own any rolling stock for the purpose of the implementation of 
the Project and that all such rolling stock used on the New Railway shall be 
owned or leased by the Authorised Rail Users (with the exception of rolling stock 
used for construction or maintenance or restoration related purposes). 
(9) For developing the business and strengthening t he relation between DFCCIL and 
MOR, Addendum to Concession Agreement has been proposed.  
  
 
 
 
 
 
 
 
 
 "
8,PDF page 8,"7 
 
1.3    Western Corridor:  
Western Corridor comprising of 1504  km of a double line electrified track from JNPT 
to Dadri via Vadodara-Sanand-Palanpur-Phulera-Rewari. Alignment has been generally 
kept parallel to existing lines except provision of detours and entirely on a new 
alignment from Rewari to Dadri and also from Sanand to Vadodara. This new line 
portion of DFC is designed to connect with exi sting New Delhi - Mathura line at Asaoti 
railway station from Pirthala station of DFC. Moreover, the Western DFC is proposed 
to join Eastern Corridor near Dadri.  
 
Western DFC (1504 KMs)  
Haryana 191 
Rajasthan 561 
Gujarat 552 
Maharashtra 183 
Uttar Pradesh 17 
Total 1504 
 
The traffic on the Western Corridor mainly comprises of ISO containers from JNPT and 
Mumbai Port in Maharashtra and ports of Pipavav, Mundra and Kandla in Gujarat 
destined for  ICDs located in northern India, especially at Tughlakabad,  Dadri and 
Dandharikalan. Besides Containers, other commodities moving on the Western DFC are 
POL, Fertilizers, Food grains, Salt, Coal, Iron & Steel and Cement. Further, owing to its 
faster growth as compared to other commodities, the share of c ontainer traffic is 
expected to progressively increase and reach a level of about 70.5 million tonne in 
2023-24.  The maximum number of trains in the section is projected as 230 trains (both 
in UP and DN)   in Ajmer-Palanpur section in the year2024.. 
 
Network diagram of Western Corridor is given below: -  
 
 
 
 
 
 
 
 
 
 
 
 
  "
9,PDF page 9,"8 
 
 
Network Diagram – Western DFC 
  
 
 
 
 
"
10,PDF page 10,"9 
 
 
 
 
 
1.4  Eastern Corridor: 
The Eastern Corridor with a route length of 1861km, consist of the following d istinct 
segments: 
i. An electrified single line segment of 401 km between Ludhiana and Khurja. 
ii.  An electrified double line segment of 46km between Khurja and Dadri. 
iii.  An electrified  double line segment of 351km between Khurja and Kanpur   
iv.  An electrified  double line segment of 402 km between Kanpur and Mughalsarai 
v. An electrified double line segment of 126 km between Mughalsarai and 
Sonnagar. 
vi. An electrified double line segment of 535km between Sonnagar to Dankuni. 
Due to non-availability of space along the exi sting corridor particularly near important 
city centres and industrial townships, the alignment of the corridor will take detour at 
several locations. Since the origin and destination of sizable volume of traffic do not 
necessarily fall on the DFC, a numbe r of junction arrangements have been planned to 
transfer traffic from the existing Indian Railway corridor to the DFC and vice versa. 
The junctions on the Eastern Corridor are planned at Chawapail, Sirhind, Sambhu, 
Kalanaur, Pilkhani, Boraki, Khurja, Dadri (E), Daudkhan, Tundla, Bhaupur, Bhimsen, 
Kanpur, Karchchna, Ahraura Road, Mughalsarai, Ganjkhwaja, Sonnagar, Chiraillapatu, 
Gomoh,  Andal(W), Andal, Andal(E), Khana and Dankuni. For phase -I opening of the 
section,temporary junctions are planned at Karwandiya, Sasaram and Durgawati. 
 
Eastern DFC (1861 KMs) 
States KMs 
Punjab 88 
Haryana 72 
Uttar Pradesh 1063 
Bihar 239 
Jharkhand  196 
West Bengal  203 
Total 1861 
The traffic on the Eastern Corridor mainly comprises of coal for the power plant s in the 
northern region of U.P, Delhi, Haryana, Punjab and parts of Rajasthan from the coal 
fields situated in Eastern part of the country, finished steel, food grains, cement, 
fertilizers, lime stone to steel plants and general goods. The total traffic in UP 
direction& DN direction is projected to go up to224  million tonnes in 2023 -24. The 
number of trains with 25 tonne axle load wor ks out to a maximum of about 163   trains 
in both UP and DN direction in Sonnagar-Mughalsarai section of the Eastern Corridor. 
 
Network diagram of Eastern Corridor is given below: -  
 
Network Diagram -Eastern DFC "
