source_id,source_sha256,page,table,row,column,value_original,reference,verification_status
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,1,1,State,HTML table 1; row 1; column 1,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,1,2,Total Length (km),HTML table 1; row 1; column 2,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,1,3,Length Awarded (km),HTML table 1; row 1; column 3,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,1,4,Length Constructed till 31st Oct’24 (km),HTML table 1; row 1; column 4,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,2,1,Andhra Pradesh,HTML table 1; row 2; column 1,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,2,2,"2,525",HTML table 1; row 2; column 2,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,2,3,"1,936",HTML table 1; row 2; column 3,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,2,4,994,HTML table 1; row 2; column 4,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,3,1,Assam,HTML table 1; row 3; column 1,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,3,2,433,HTML table 1; row 3; column 2,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,3,3,431,HTML table 1; row 3; column 3,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,3,4,378,HTML table 1; row 3; column 4,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,4,1,Bihar,HTML table 1; row 4; column 1,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,4,2,"1,572",HTML table 1; row 4; column 2,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,4,3,"1,159",HTML table 1; row 4; column 3,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,4,4,641,HTML table 1; row 4; column 4,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,5,1,Chhattisgarh,HTML table 1; row 5; column 1,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,5,2,571,HTML table 1; row 5; column 2,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,5,3,471,HTML table 1; row 5; column 3,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,5,4,221,HTML table 1; row 5; column 4,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,6,1,Delhi,HTML table 1; row 6; column 1,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,6,2,203,HTML table 1; row 6; column 2,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,6,3,203,HTML table 1; row 6; column 3,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,6,4,178,HTML table 1; row 6; column 4,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,7,1,Goa,HTML table 1; row 7; column 1,review_required
S009,3b9aa6d5fd0ee398f57b82eecfbaf58dbcedd40f03feea0f96c21cca01a48848,,1,7,2,26,HTML table 1; row 7; column 2,review_required
