source_id,source_sha256,page,table,row,column,value_original,reference,verification_status
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,1,1,,PDF page 1; detected table 1; row 1; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,1,2,,PDF page 1; detected table 1; row 1; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,1,3,DAY: 05-09-2026,PDF page 1; detected table 1; row 1; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,1,7,PERIOD: 01-06-2026 to 05-09-2026,PDF page 1; detected table 1; row 1; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,2,1,S.No,PDF page 1; detected table 1; row 2; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,2,2,MET.SUBDIVISION/UT/STATE/DISTRICT,PDF page 1; detected table 1; row 2; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,2,3,ACTUAL(mm),PDF page 1; detected table 1; row 2; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,2,4,NORMAL(mm),PDF page 1; detected table 1; row 2; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,2,5,%DEP.,PDF page 1; detected table 1; row 2; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,2,6,CAT.,PDF page 1; detected table 1; row 2; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,2,7,ACTUAL(mm),PDF page 1; detected table 1; row 2; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,2,8,NORMAL(mm),PDF page 1; detected table 1; row 2; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,2,9,%DEP.,PDF page 1; detected table 1; row 2; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,2,10,CAT.,PDF page 1; detected table 1; row 2; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,3,1,,PDF page 1; detected table 1; row 3; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,3,2,ANDAMAN & NICOBAR ISLANDS,PDF page 1; detected table 1; row 3; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,3,3,8.1,PDF page 1; detected table 1; row 3; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,3,4,13.1,PDF page 1; detected table 1; row 3; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,3,5,-38%,PDF page 1; detected table 1; row 3; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,3,6,D,PDF page 1; detected table 1; row 3; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,3,7,1275.4,PDF page 1; detected table 1; row 3; column 7,review_required
