source_id,source_sha256,page,table,row,column,value_original,reference,verification_status
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,2,1,1,1,,PDF page 2; detected table 1; row 1; column 1,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,2,1,1,2,a,PDF page 2; detected table 1; row 1; column 2,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,2,1,1,3,,PDF page 2; detected table 1; row 1; column 3,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,3,1,1,1,,PDF page 3; detected table 1; row 1; column 1,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,3,1,1,2,b,PDF page 3; detected table 1; row 1; column 2,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,3,1,1,3,,PDF page 3; detected table 1; row 1; column 3,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,5,1,1,1,,PDF page 5; detected table 1; row 1; column 1,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,5,1,1,2,d,PDF page 5; detected table 1; row 1; column 2,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,5,1,1,3,,PDF page 5; detected table 1; row 1; column 3,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,6,1,1,1,,PDF page 6; detected table 1; row 1; column 1,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,6,1,1,2,e,PDF page 6; detected table 1; row 1; column 2,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,6,1,1,3,,PDF page 6; detected table 1; row 1; column 3,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,7,1,1,1,,PDF page 7; detected table 1; row 1; column 1,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,7,1,1,2,f,PDF page 7; detected table 1; row 1; column 2,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,7,1,1,3,,PDF page 7; detected table 1; row 1; column 3,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,8,1,1,1,,PDF page 8; detected table 1; row 1; column 1,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,8,1,1,2,g,PDF page 8; detected table 1; row 1; column 2,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,8,1,1,3,,PDF page 8; detected table 1; row 1; column 3,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,10,1,1,1,,PDF page 10; detected table 1; row 1; column 1,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,10,1,1,2,i,PDF page 10; detected table 1; row 1; column 2,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,10,1,1,3,,PDF page 10; detected table 1; row 1; column 3,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,11,1,1,1,,PDF page 11; detected table 1; row 1; column 1,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,11,1,1,2,1,PDF page 11; detected table 1; row 1; column 2,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,11,1,1,3,,PDF page 11; detected table 1; row 1; column 3,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,12,1,1,1,,PDF page 12; detected table 1; row 1; column 1,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,12,1,1,2,2,PDF page 12; detected table 1; row 1; column 2,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,12,1,1,3,,PDF page 12; detected table 1; row 1; column 3,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,13,1,1,1,,PDF page 13; detected table 1; row 1; column 1,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,13,1,1,2,3,PDF page 13; detected table 1; row 1; column 2,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,13,1,1,3,,PDF page 13; detected table 1; row 1; column 3,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,14,1,1,1,,PDF page 14; detected table 1; row 1; column 1,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,14,1,1,2,4,PDF page 14; detected table 1; row 1; column 2,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,14,1,1,3,,PDF page 14; detected table 1; row 1; column 3,review_required
S026,9710d42e31e82b0e615dc9628916beee96f48d92db8050ba691b69fd9da20ffb,15,1,1,1,,PDF page 15; detected table 1; row 1; column 1,review_required
