source_id,source_sha256,page,table,row,column,value_original,reference,verification_status
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,1,1,,PDF page 15; detected table 1; row 1; column 1,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,1,2,Abbreviation/,PDF page 15; detected table 1; row 1; column 2,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,1,3,,PDF page 15; detected table 1; row 1; column 3,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,1,4,Description,PDF page 15; detected table 1; row 1; column 4,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,2,2,Acronym,PDF page 15; detected table 1; row 2; column 2,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,3,1,BRO,PDF page 15; detected table 1; row 3; column 1,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,3,4,Border Roads Organisation,PDF page 15; detected table 1; row 3; column 4,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,4,1,DPR,PDF page 15; detected table 1; row 4; column 1,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,4,4,Detailed Project Report,PDF page 15; detected table 1; row 4; column 4,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,5,1,km,PDF page 15; detected table 1; row 5; column 1,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,5,4,Kilometer,PDF page 15; detected table 1; row 5; column 4,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,6,1,LA,PDF page 15; detected table 1; row 6; column 1,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,6,4,Land Acquisition,PDF page 15; detected table 1; row 6; column 4,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,7,1,SOI,PDF page 15; detected table 1; row 7; column 1,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,7,4,Survey of India,PDF page 15; detected table 1; row 7; column 4,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,8,1,NH,PDF page 15; detected table 1; row 8; column 1,review_required
S011,16148e8d4be1711696ec1f396877fa30afa86f92c2813bb54e90c16b705b8d58,15,1,8,4,National Highway,PDF page 15; detected table 1; row 8; column 4,review_required
