source_id,source_sha256,page,table,row,column,value_original,reference,verification_status
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,1,1,S. No.,PDF page 8; detected table 1; row 1; column 1,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,1,2,MMLP,PDF page 8; detected table 1; row 1; column 2,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,1,3,State,PDF page 8; detected table 1; row 1; column 3,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,1,4,Location,PDF page 8; detected table 1; row 1; column 4,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,1,5,"Land
(Area)",PDF page 8; detected table 1; row 1; column 5,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,1,6,"Investment
(Rs. Cr.)",PDF page 8; detected table 1; row 1; column 6,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,1,7,Mode,PDF page 8; detected table 1; row 1; column 7,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,2,1,1,PDF page 8; detected table 1; row 2; column 1,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,2,2,Jogighopa,PDF page 8; detected table 1; row 2; column 2,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,2,3,Assam,PDF page 8; detected table 1; row 2; column 3,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,2,4,Jogighopa,PDF page 8; detected table 1; row 2; column 4,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,2,5,190,PDF page 8; detected table 1; row 2; column 5,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,2,6,694,PDF page 8; detected table 1; row 2; column 6,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,2,7,EPC,PDF page 8; detected table 1; row 2; column 7,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,3,1,2,PDF page 8; detected table 1; row 3; column 1,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,3,2,Chennai,PDF page 8; detected table 1; row 3; column 2,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,3,3,Tamil Nadu,PDF page 8; detected table 1; row 3; column 3,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,3,4,Mappedu,PDF page 8; detected table 1; row 3; column 4,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,3,5,181,PDF page 8; detected table 1; row 3; column 5,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,3,6,1423,PDF page 8; detected table 1; row 3; column 6,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,3,7,PPP,PDF page 8; detected table 1; row 3; column 7,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,4,1,3,PDF page 8; detected table 1; row 4; column 1,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,4,2,Indore,PDF page 8; detected table 1; row 4; column 2,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,4,3,"Madhya
Pradesh",PDF page 8; detected table 1; row 4; column 3,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,4,4,Pithampur,PDF page 8; detected table 1; row 4; column 4,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,4,5,255,PDF page 8; detected table 1; row 4; column 5,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,4,6,1111,PDF page 8; detected table 1; row 4; column 6,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,4,7,PPP,PDF page 8; detected table 1; row 4; column 7,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,5,1,4,PDF page 8; detected table 1; row 5; column 1,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,5,2,Bangalore,PDF page 8; detected table 1; row 5; column 2,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,5,3,Karnataka,PDF page 8; detected table 1; row 5; column 3,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,5,4,Dabbaspete,PDF page 8; detected table 1; row 5; column 4,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,5,5,400,PDF page 8; detected table 1; row 5; column 5,review_required
S031,75eb02573bb4b7927c88b495432e820baa7e6f603f78e3b09afd3d6395a429e1,8,1,5,6,1770,PDF page 8; detected table 1; row 5; column 6,review_required
