source_id,source_sha256,page,table,row,column,value_original,reference,verification_status
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,8,1,1,1,,PDF page 8; detected table 1; row 1; column 1,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,8,1,1,2,Western DFC (1504 KMs),PDF page 8; detected table 1; row 1; column 2,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,8,1,1,4,,PDF page 8; detected table 1; row 1; column 4,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,8,1,2,1,Haryana,PDF page 8; detected table 1; row 2; column 1,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,8,1,2,3,191,PDF page 8; detected table 1; row 2; column 3,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,8,1,3,1,Rajasthan,PDF page 8; detected table 1; row 3; column 1,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,8,1,3,3,561,PDF page 8; detected table 1; row 3; column 3,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,8,1,4,1,Gujarat,PDF page 8; detected table 1; row 4; column 1,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,8,1,4,3,552,PDF page 8; detected table 1; row 4; column 3,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,8,1,5,1,Maharashtra,PDF page 8; detected table 1; row 5; column 1,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,8,1,5,3,183,PDF page 8; detected table 1; row 5; column 3,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,8,1,6,1,Uttar Pradesh,PDF page 8; detected table 1; row 6; column 1,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,8,1,6,3,17,PDF page 8; detected table 1; row 6; column 3,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,8,1,7,1,Total,PDF page 8; detected table 1; row 7; column 1,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,8,1,7,3,1504,PDF page 8; detected table 1; row 7; column 3,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,15,1,1,1,Parameter Specifications,PDF page 15; detected table 1; row 1; column 1,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,15,1,2,1,,PDF page 15; detected table 1; row 2; column 1,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,15,1,2,2,Axle Load,PDF page 15; detected table 1; row 2; column 2,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,15,1,2,3,,PDF page 15; detected table 1; row 2; column 3,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,15,1,2,4,,PDF page 15; detected table 1; row 2; column 4,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,15,1,2,5,32.5 tonne loading standard for Bridges and Formation. Track,PDF page 15; detected table 1; row 2; column 5,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,15,1,2,6,,PDF page 15; detected table 1; row 2; column 6,review_required
S014,f8db86897dde3ddee3845142cdcbce888b05f32a790413bc6c8eb7f5cbd62cd4,15,1,3,1,,PDF page 15; detected table 1; row 3; column 1,review_required
